sseqid,Feature,Type,Description
SV40_intron,SV40 intron,intron,Simian virus 40 small t antigen intron frequently used to improve mRNA processing in mammalian vectors.
Rabbit_beta_globin_intron,Rabbit beta-globin intron,intron,Rabbit beta-globin intron used as a classic intron-mediated enhancement element.
Human_beta_globin_intron_1,Human beta-globin intron 1,intron,First intron from human beta-globin gene used to enhance expression in mammalian systems.
Human_beta_globin_intron_2,Human beta-globin intron 2,intron,Second intron from human beta-globin locus used for robust transcript maturation.
Human_IgG_heavy_chain_intron,Human IgG heavy chain intron,intron,Immunoglobulin heavy-chain intron used in antibody expression constructs.
Human_IgK_light_chain_intron,Human IgK light chain intron,intron,Immunoglobulin kappa light-chain intron used in therapeutic antibody vectors.
CMV_intron_A,CMV intron A,intron,Cytomegalovirus immediate early intron A used to increase expression in mammalian cells.
EF1a_intron,EF1a intron,intron,Human elongation factor 1 alpha intron used for expression enhancement and transcript stability.
UBC_intron,UBC intron,intron,Human ubiquitin C intron used in constitutive mammalian expression vectors.
hGH_intron_A,hGH intron A,intron,Human growth hormone intron A commonly included in expression cassettes.
hGH_intron_B,hGH intron B,intron,Human growth hormone intron B for intron-mediated enhancement in mammalian hosts.
PDX1_intron,PDX1 intron,intron,Representative human intron sequence used as a regulatory intron in synthetic constructs.
ACTB_intron_1,ACTB intron 1,intron,Human beta-actin first intron used in expression optimization.
ACTB_intron_2,ACTB intron 2,intron,Human beta-actin second intron for mammalian transcript processing enhancement.
GAPDH_intron_1,GAPDH intron 1,intron,Human GAPDH intron frequently used as a neutral mammalian intron module.
GAPDH_intron_2,GAPDH intron 2,intron,Human GAPDH secondary intron for synthetic expression cassette engineering.
RPLP0_intron,RPLP0 intron,intron,Human ribosomal protein lateral stalk intron used for expression tuning.
HBB_hybrid_intron,HBB hybrid intron,intron,Hybrid intron derived from beta-globin elements optimized for strong transgene expression.
Synthetic_hybrid_intron_v1,Synthetic hybrid intron v1,intron,Engineered compact hybrid intron for mammalian expression vectors.
Synthetic_hybrid_intron_v2,Synthetic hybrid intron v2,intron,Alternative synthetic hybrid intron balancing size and splicing performance.
Synthetic_hybrid_intron_v3,Synthetic hybrid intron v3,intron,Optimized synthetic intron for high-expression therapeutic constructs.
MCS_splice_donor_intron,MCS splice donor intron,intron,Modular intron carrying consensus splice donor and acceptor motifs.
Chimeric_intron_A,Chimeric intron A,intron,Common vector chimeric intron from beta-globin and immunoglobulin elements.
Chimeric_intron_B,Chimeric intron B,intron,Variant chimeric intron tuned for mammalian transgene stability.
Chimeric_intron_C,Chimeric intron C,intron,Compact chimeric intron for AAV payload-constrained designs.
Plant_RBCS2_intron,Plant RBCS2 intron,intron,Arabidopsis/plant-compatible RBCS2 intron used in plant expression constructs.
Plant_ACT2_intron,Plant ACT2 intron,intron,Plant actin intron used for intron-mediated enhancement in dicots.
Plant_UBQ10_intron,Plant UBQ10 intron,intron,Arabidopsis ubiquitin 10 intron used in constitutive plant expression.
Rice_Actin1_intron,Rice Actin1 intron,intron,Monocot-compatible intron commonly used for rice and cereal expression systems.
Maize_Ubi1_intron,Maize Ubi1 intron,intron,Maize ubiquitin 1 intron used for strong monocot transgene expression.
AAV_optimized_micro_intron,AAV optimized micro-intron,intron,Short synthetic intron designed for splicing support under strict packaging limits.
